Function,Total_Syscalls,Total_Syscalls_Success,Total_Syscalls_Failed,Min,Max,Average,Stdev,Failure,Context,Increase
__GI___statfs,22,11,11,0,0.007,0.003272727,0.00267585,1,0.5,0.5
__GI___close_nocancel,44,12,32,0,0.002,0.00075,0.000488234,1,0.727272727,0.272727273
syscall,49,46,3,0,0.02,0.001836735,0.003715659,0.176470588,0.06122449,0.115246098
__poll,26,25,1,0,80056.575,3079.690731,15700.26568,0.142857143,0.038461538,0.104395604
fstatat64,44,4,40,0,0.004,0.001386364,0.000945391,1,0.909090909,0.090909091
epoll_wait,14,11,3,0,159488.613,33198.28264,61178.78324,0.3,0.214285714,0.085714286
read,734,646,88,0,0.086,0.002678474,0.00455647,0.168161435,0.119891008,0.048270427
epoll_wait,20,19,1,0,498509.618,33799.93565,111503.2588,0.076923077,0.05,0.026923077
__libc_sigaction,3672,3666,6,0,0.072,0.000708061,0.00222826,0.002834467,0.001633987,0.00120048
__libc_start_call_main,108065,107935,130,0,260.715,0.194458224,5.670580202,0.00120298,0.00120298,0
timerfd_settime,16,1,15,0.001,0.006,0.0030625,0.00112361,0.9375,0.9375,0
__close,24,0,24,0.001,0.003,0.001833333,0.000701964,1,1,0
brk,11,2,9,0,0.001,0.000818182,0.00040452,0.818181818,0.818181818,0
_dl_map_object,11,0,11,0.002,0.004,0.002727273,0.00064667,1,1,0
_dl_map_object,99,8,91,0,0.005,0.001363636,0.000788366,0.919191919,0.919191919,0
_dl_map_object,242,81,161,0,0.007,0.002603306,0.001644704,0.665289256,0.665289256,0
init_tls,11,6,5,0,0.001,0.000454545,0.000522233,0.454545455,0.454545455,0
__tls_init_tp,11,1,10,0,0.001,0.000909091,0.000301511,0.909090909,0.909090909,0
__tls_init_tp,11,5,6,0,0.001,0.000545455,0.000522233,0.545454545,0.545454545,0
__tls_init_tp,11,2,9,0,0.001,0.000818182,0.00040452,0.818181818,0.818181818,0
__GI___access,11,0,11,0.001,0.003,0.002,0.000447214,1,1,0
ppoll,998,987,11,0,0.155,0.002614228,0.00975006,0.011022044,0.011022044,0
_exit,12,0,12,0,0,0,0,1,1,0
start_thread,10,0,10,0.001,0.002,0.0016,0.000516398,1,1,0
__madvise,342,315,27,0,0.016,0.001614035,0.002243957,0.078947368,0.078947368,0
start_thread,10,0,10,0,0,0,0,1,1,0
pthread_cond_signal@@GLIBC_2.3.2,1,0,1,0.003,0.003,0,0,1,1,0
__libc_recvmsg,14,9,5,0.001,0.008,0.002,0.001961161,0.357142857,0.357142857,0
syscall,1,0,1,0,0,0,0,1,1,0
epoll_ctl,3,0,3,0.003,0.005,0.004,0.001,1,1,0
__close,1,0,1,0.002,0.002,0,0,1,1,0
start_thread,1,0,1,0.001,0.001,0,0,1,1,0
start_thread,1,0,1,0.001,0.001,0,0,1,1,0
start_thread,1,0,1,0.001,0.001,0,0,1,1,0
__mprotect,56,54,2,0.001,0.071,0.003285714,0.009434394,0.035714286,0.035714286,0
__cmd_record.constprop.0,33682,33672,10,0,13.334,0.005224304,0.207348381,0,0.000296894,-0.000296894
cmd_record,100142,100012,130,0,260.715,0.209676559,5.890366045,0,0.001298157,-0.001298157
run_builtin,100142,100012,130,0,260.715,0.209676559,5.890366045,0,0.001298157,-0.001298157
main,100142,100012,130,0,260.715,0.209676559,5.890366045,0,0.001298157,-0.001298157
__cmd_record.constprop.0,57684,57563,121,0,260.715,0.359930102,7.756066105,0,0.002097635,-0.002097635
__GI___tcgetattr,162,26,136,0,0.008,0.001049383,0.000897218,0.82781457,0.839506173,-0.011691603
__GI___libc_write,9322,9142,180,0,0.371,0.006415898,0.017441393,0,0.019309161,-0.019309161
__cmd_record.constprop.0,8710,8541,169,0,0.371,0.006721584,0.017961352,0,0.019402985,-0.019402985
record__pushfn,5708,5552,156,0,0.371,0.008461633,0.021941679,0,0.027330063,-0.027330063
record__mmap_read_evlist,5708,5552,156,0,0.371,0.008461633,0.021941679,0,0.027330063,-0.027330063
perf_mmap__push,5699,5543,156,0,0.371,0.008468679,0.021958236,0,0.027373223,-0.027373223
__GI___readlink,944,913,31,0.001,0.068,0.002028602,0.00217774,0,0.032838983,-0.032838983
get_link_name,944,913,31,0.001,0.068,0.002028602,0.00217774,0,0.032838983,-0.032838983
gobble_file,944,913,31,0.001,0.068,0.002028602,0.00217774,0,0.032838983,-0.032838983
read,1036,991,45,0,0.089,0.002086873,0.004374297,0,0.043436293,-0.043436293
__poll,502,478,24,0,550979.515,7182.442086,42531.74509,0,0.047808765,-0.047808765
__libc_sendmsg,17,16,1,0,1.024,0.066588235,0.246809911,0,0.058823529,-0.058823529
__close_nocancel,71,13,58,0,0.003,0.001014085,0.000665324,0.734693878,0.816901408,-0.082207531
do_lstat,5832,5178,654,0,0.074,0.002163409,0.002018151,0,0.112139918,-0.112139918
gobble_file,5832,5178,654,0,0.074,0.002163409,0.002018151,0,0.112139918,-0.112139918
__evlist__enable.constprop.0,11,9,2,0.006,19.13,3.428,7.613702463,0,0.181818182,-0.181818182
__mmap,22,4,18,0.001,0.007,0.002363636,0.001255292,0.636363636,0.818181818,-0.181818182
__getpid,8,2,6,0,0.001,0.00075,0.00046291,0.5,0.75,-0.25
pthread_cond_timedwait@@GLIBC_2.3.2,4,3,1,0,0.247,0.06175,0.1235,0,0.25,-0.25
__libc_recvmsg,70,36,34,0,0.016,0.003142857,0.002628085,0.222222222,0.485714286,-0.263492063
__libc_write,11,8,3,0,0.008,0.002818182,0.002750207,0,0.272727273,-0.272727273
mmap64,187,18,169,0.001,0.009,0.003042781,0.001323196,0.606060606,0.903743316,-0.297682709
__GI___ioctl,91261,38401,52860,0,1.581,0.023668161,0.020323052,0.25,0.579217848,-0.329217848
__GI___futex_abstimed_wait_cancelable64,3,2,1,0,5.73,2.266333333,3.046872221,0,0.333333333,-0.333333333
__GI___libc_write,8799,5767,3032,0,0.062,0.001395045,0.001384601,0,0.344584612,-0.344584612
__GI___libc_open,26,17,9,0.003,0.046,0.013076923,0.01342214,0,0.346153846,-0.346153846
g_socket_send_message,10,6,4,0,0.014,0.0038,0.003938415,0,0.4,-0.4
__libc_read,17,10,7,0,0.005,0.001882353,0.00161564,0,0.411764706,-0.411764706
pthread_sigmask@GLIBC_2.2.5,1968,1149,819,0,0.002,0.000416667,0.000494162,0,0.416158537,-0.416158537
__libc_recvmsg,19,11,8,0,0.004,0.001421053,0.001017393,0,0.421052632,-0.421052632
__GI___fstatat64,62,34,28,0.001,0.006,0.002032258,0.001557296,0,0.451612903,-0.451612903
__GI___getdents64,33,18,15,0,0.285,0.116909091,0.1021749,0,0.454545455,-0.454545455
g_socket_receive_message,48,25,23,0,0.016,0.0029375,0.002487469,0,0.479166667,-0.479166667
perf_event__synthesize_comm,22,11,11,0.002,0.021,0.0115,0.009369403,0,0.5,-0.5
__cmd_record.constprop.0,22,11,11,0.001,0.01,0.0045,0.003334524,0,0.5,-0.5
main,22,11,11,0,0.008,0.002272727,0.001750696,0,0.5,-0.5
__libc_sendmsg,2,1,1,0.002,0.013,0.0075,0.007778175,0,0.5,-0.5
__GI___lll_lock_wait,2,1,1,0,0.195,0.0975,0.137885822,0,0.5,-0.5
__brk,44,21,23,0,0.006,0.001681818,0.001215648,0,0.522727273,-0.522727273
_nl_find_locale,44,21,23,0.001,0.007,0.002227273,0.001444535,0,0.522727273,-0.522727273
setlocale,44,21,23,0.001,0.007,0.002227273,0.001444535,0,0.522727273,-0.522727273
inotify_add_watch,16,7,9,0,0.007,0.00325,0.002294922,0,0.5625,-0.5625
signal_restore,48,18,30,0,0.001,0.000625,0.000489246,0,0.625,-0.625
main,48,18,30,0,0.001,0.000625,0.000489246,0,0.625,-0.625
__evlist__disable.constprop.0,33660,12279,21381,0,0.101,0.001780125,0.001942454,0,0.635204991,-0.635204991
__cmd_record.constprop.0,33,11,22,0.002,0.075,0.018575758,0.014914402,0,0.666666667,-0.666666667
sched_setaffinity@@GLIBC_2.3.4,143,46,97,0,260.715,131.3447972,84.41560276,0,0.678321678,-0.678321678
__GI___pread64_nocancel,44,10,34,0,0.001,0.000772727,0.000423915,0,0.772727273,-0.772727273
evlist_cpu_iterator__next,121,22,99,0,260.715,153.9552314,71.22287906,0,0.818181818,-0.818181818
__evlist__enable.constprop.0,121,22,99,0,260.715,153.9552314,71.22287906,0,0.818181818,-0.818181818
evlist__cpu_begin,11,2,9,0.004,13.334,10.54681818,4.745055212,0,0.818181818,-0.818181818
__evlist__disable.constprop.0,11,2,9,0.004,13.334,10.54681818,4.745055212,0,0.818181818,-0.818181818
signal_init,96,14,82,0,0.001,0.000854167,0.000354792,0,0.854166667,-0.854166667
put_indicator,96,14,82,0,0.001,0.000854167,0.000354792,0,0.854166667,-0.854166667
print_color_indicator,100,14,86,0,0.002,0.0009,0.000414388,0,0.86,-0.86
quote_name,100,14,86,0,0.002,0.0009,0.000414388,0,0.86,-0.86
print_name_with_quoting,100,14,86,0,0.002,0.0009,0.000414388,0,0.86,-0.86
print_file_name_and_frills,100,14,86,0,0.002,0.0009,0.000414388,0,0.86,-0.86
print_many_per_line,100,14,86,0,0.002,0.0009,0.000414388,0,0.86,-0.86
print_current_files,100,14,86,0,0.002,0.0009,0.000414388,0,0.86,-0.86
print_dir,100,14,86,0,0.002,0.0009,0.000414388,0,0.86,-0.86
_dl_sysdep_start,88,9,79,0.001,0.007,0.002727273,0.001238532,0,0.897727273,-0.897727273
__GI___gettid,22,2,20,0,0.002,0.001227273,0.00061193,0,0.909090909,-0.909090909
main,7842,410,7432,0,0.074,0.002113874,0.00192988,0,0.947717419,-0.947717419
print_dir,7720,307,7413,0,0.074,0.002129793,0.001939022,0,0.960233161,-0.960233161
statx,6787,235,6552,0,0.074,0.002146456,0.00190275,0,0.965374982,-0.965374982
mprotect,66,2,64,0.001,0.007,0.002893939,0.001348832,0,0.96969697,-0.96969697
__libc_sendmsg,34,1,33,0.001,0.01,0.003411765,0.001986586,0,0.970588235,-0.970588235
record__write,3002,7,2995,0,0.061,0.003413058,0.001991803,0,0.997668221,-0.997668221
record__mmap_read_evlist,3002,7,2995,0,0.061,0.003413058,0.001991803,0,0.997668221,-0.997668221
__evlist__enable.constprop.0,57552,132,57420,0,0.616,0.036417796,0.011007881,0,0.997706422,-0.997706422
stat_for_mode,944,1,943,0,0.025,0.002023305,0.000905672,0,0.998940678,-0.998940678
gobble_file,944,1,943,0,0.025,0.002023305,0.000905672,0,0.998940678,-0.998940678
__GI___libc_open,12,0,12,0.015,0.035,0.029166667,0.005457827,0,1,-1
process_synthesized_event,11,0,11,0.028,0.075,0.032727273,0.014036316,0,1,-1
perf_tool__process_synth_event,11,0,11,0.028,0.075,0.032727273,0.014036316,0,1,-1
perf_event__synthesize_comm,11,0,11,0.028,0.075,0.032727273,0.014036316,0,1,-1
__GI___execve,11,0,11,0,0,0,0,0,1,-1
evlist__prepare_workload,11,0,11,0,0,0,0,0,1,-1
__cmd_record.constprop.0,11,0,11,0,0,0,0,0,1,-1
init_cpu_features.constprop.0,11,0,11,0.001,0.001,0.001,1.99E-10,0,1,-1
access,11,0,11,0.003,0.004,0.003363636,0.000504525,0,1,-1
__GI___open64_nocancel,44,0,44,0.001,0.004,0.002204545,0.000631703,0,1,-1
__GI___read_nocancel,33,0,33,0.001,0.005,0.00130303,0.000769937,0,1,-1
dl_main,44,0,44,0.001,0.004,0.002227273,0.000565012,0,1,-1
dl_main,11,0,11,0.002,0.004,0.002909091,0.00053936,0,1,-1
__getrlimit,11,0,11,0.001,0.002,0.001363636,0.000504525,0,1,-1
munmap,11,0,11,0.005,0.007,0.005272727,0.00064667,0,1,-1
__GI___getrandom,11,0,11,0.001,0.002,0.001090909,0.000301511,0,1,-1
__open64_nocancel,22,0,22,0.002,0.005,0.003272727,0.000767297,0,1,-1
decode_switches,11,0,11,0.003,0.008,0.003636364,0.001501514,0,1,-1
do_stat,11,0,11,0.003,0.004,0.003727273,0.000467099,0,1,-1
gobble_file,11,0,11,0.003,0.004,0.003727273,0.000467099,0,1,-1
main,11,0,11,0.003,0.004,0.003727273,0.000467099,0,1,-1
perf_mmap__push,9,0,9,0.003,0.007,0.004,0.001224745,0,1,-1
__pselect,1,0,1,0,0,0,0,0,1,-1
__restore_rt,11,0,11,0.002,0.003,0.002272727,0.000467099,0,1,-1
__restore_rt,11,0,11,0,0,0,0,0,1,-1
sched_getaffinity@@GLIBC_2.3.4,11,0,11,0.002,0.004,0.002818182,0.000603023,0,1,-1
__evlist__disable.constprop.0,11,0,11,0.002,0.004,0.002818182,0.000603023,0,1,-1
__pthread_mutex_unlock,2,0,2,0.002,0.002,0.002,1.61E-10,0,1,-1
__pthread_mutex_unlock_usercnt,2,0,2,0.002,0.003,0.0025,0.000707107,0,1,-1
__ftruncate64,6,0,6,0.022,0.047,0.0345,0.00977241,0,1,-1
g_signal_emit,1,0,1,0.001,0.001,0,0,0,1,-1
__GI___unlink,1,0,1,0.012,0.012,0,0,0,1,-1
__GI___prctl,1,0,1,0,0,0,0,0,1,-1
__select,1,0,1,0,0,0,0,0,1,-1
__GI___lll_lock_wake,3,0,3,0.001,0.002,0.001666666,0.00057735,0,1,-1
pthread_cond_wait@@GLIBC_2.3.2,1,0,1,0.002,0.002,0,0,0,1,-1
